path,group,applicability,lines,bytes,sha256,review,assessment,baseline_copy
/Users/sinan/.claude/CLAUDE.md,personal-global,global Claude,7,603,5b7ac66adbc80e4ac5f9e3abc52a18288945c97889ef03988712382c7e802880,body reviewed; supporting files checked selectively,Keep concise global preferences,/Users/sinan/.codex/memories/instruction-backups/2026-09-04-originals/global/.claude/CLAUDE.md.txt
/Users/sinan/.claude/plugins/cache/claude-plugins-official/telegram/0.0.6/skills/access/SKILL.md,plugin-cache,Claude plugin globally disabled; older cache retained,136,4280,c499635ef8a9a68cb166bb737a7f4d0620154d1bc9e96934cb8b630fadf22c86,body reviewed; supporting files checked selectively,Disabled Telegram: retain security checks; old version lacks state-directory routing,
/Users/sinan/.claude/plugins/cache/claude-plugins-official/telegram/0.0.6/skills/configure/SKILL.md,plugin-cache,Claude plugin globally disabled; older cache retained,96,4024,7a58fa4efd09dd8323894e0e505bc21de11e657994710a3c535f9f5072fe36b3,body reviewed; supporting files checked selectively,Disabled Telegram: narrow trigger and make setup dialogue conditional,
/Users/sinan/.claude/plugins/cache/claude-plugins-official/telegram/0.0.7/skills/access/SKILL.md,plugin-cache,Claude plugin globally disabled; older cache retained,146,4463,6c87f59841c55a4a4f1b732c7427959581e47234f1b8c6fd633e4a5256ce6a3c,body reviewed; supporting files checked selectively,Disabled Telegram: retain security checks; old version lacks state-directory routing,
/Users/sinan/.claude/plugins/cache/claude-plugins-official/telegram/0.0.7/skills/configure/SKILL.md,plugin-cache,Claude plugin globally disabled; older cache retained,108,4308,16b06bf2ac5ede250d0c620ce4e6cf3878c9704246b8f52390fde5f280a17f73,body reviewed; supporting files checked selectively,Disabled Telegram: narrow trigger and make setup dialogue conditional,
/Users/sinan/.codex/AGENTS.md,personal-global,global Codex,7,510,a2df25778a0bab6d9cc9ae605ebd889f77159b7979c53452911e78cc6b19b953,body reviewed; supporting files checked selectively,Keep concise global preferences,/Users/sinan/.codex/memories/instruction-backups/2026-09-04-originals/global/.codex/AGENTS.md.txt
/Users/sinan/.codex/plugins/cache/chatgpt-global/github/0.1.2/skills/gh-address-comments/SKILL.md,plugin-cache,plugin enabled in config; skills not advertised this task; duplicate caches compared,44,3536,c1ebc337357402f7faabafe712e0c463981a65f736453efe52abd305bcb74769,body reviewed; supporting files checked selectively,Conditional issue: unconditional escalation; distinguish auth from rate limits,
/Users/sinan/.codex/plugins/cache/chatgpt-global/github/0.1.2/skills/gh-fix-ci/SKILL.md,plugin-cache,plugin enabled in config; skills not advertised this task; duplicate caches compared,81,4326,7621a3560d788fb221d25f9753233fe0c393c5cfe63167c88b11f027c277b1f8,body reviewed; supporting files checked selectively,Conditional issue: redundant plan approval before already-requested fixes,
/Users/sinan/.codex/plugins/cache/chatgpt-global/github/0.1.2/skills/github/SKILL.md,plugin-cache,plugin enabled in config; skills not advertised this task; duplicate caches compared,74,4356,81dbdd90934fe86a79ddc4790fd211e5fca866302a74090ad153395f56f2bd42,body reviewed; supporting files checked selectively,Keep managed; consolidate repeated routing text,
/Users/sinan/.codex/plugins/cache/chatgpt-global/github/0.1.2/skills/yeet/SKILL.md,plugin-cache,plugin enabled in config; skills not advertised this task; duplicate caches compared,70,4019,93a0bcbc834c9b3ad6a8965c1a273b237b6d226e870cd0c16e08e87bc8769814,body reviewed; supporting files checked selectively,Conditional issue: fallback gh becomes prerequisite; respect established file scope,
/Users/sinan/.codex/plugins/cache/openai-bundled/sites/0.1.57/skills/sites-building/SKILL.md,plugin-cache,advertised Codex skill this task,233,30871,7d69bd668238b0344c5470876ed324b78dfe6ed053487edf4f3233345479842f,body reviewed; supporting files checked selectively,Keep managed; reconcile QA and visual-direction boundaries,
/Users/sinan/.codex/plugins/cache/openai-bundled/sites/0.1.57/skills/sites-hosting/SKILL.md,plugin-cache,advertised Codex skill this task,51,6670,a94792641384391d45edb3a45e30cd7c3db58d88c63d94e0b2111ffc485aaf72,body reviewed; supporting files checked selectively,Keep managed; honor existing specific deployment authorization,
/Users/sinan/.codex/plugins/cache/openai-bundled/visualize/1.0.29/skills/visualize/SKILL.md,plugin-cache,advertised Codex skill this task,514,30923,be82c4e573ffe2fc0921a10f49eb690ce6f7c8a06acffb2789600be677720d05,body reviewed; supporting files checked selectively,Keep managed; reconcile silence rule and split conditional chart/map instructions,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/deep-research-work/0.1.14/skills/deep-research/SKILL.md,plugin-cache,advertised Codex skill this task,183,12344,c7b924a736d715bf90941c5e75460b3387ec90b1fdb3a7c79d3e9bfb10427dc6,body reviewed; supporting files checked selectively,Keep; good explicit trigger; capability-gate planning tool,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-analytics-dashboard/SKILL.md,plugin-cache,cached template; not advertised this task,22,1497,cf5360fd8b197673bb237c52c603c97fa319c875c3dfa2cd8efff52d4422f513,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-business-review/SKILL.md,plugin-cache,cached template; not advertised this task,22,1475,27721fc1d67d1b41949caa75ac8f94f81952ff124406878af6524047929e60d2,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-design-report/SKILL.md,plugin-cache,cached template; not advertised this task,22,1437,563722f53854e606f8a9f87e37e72d7ef70a22d46d5836b8e4d6abfb1b79e9e0,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-experiment-analysis/SKILL.md,plugin-cache,cached template; not advertised this task,22,1456,0b05effc47df0a14f8e0c3e3597e6722224747435546385d38a2cae279bd20b9,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-financial-budget/SKILL.md,plugin-cache,cached template; not advertised this task,22,1486,c0b6b7a62a15597aaf2b1ec679e21da48f533b756127f0aef957cdfe9f3da738,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-investment-committee-memo/SKILL.md,plugin-cache,cached template; not advertised this task,22,1496,68abd08cfe5e073e3c446a3f675f44c5bf98f57434dba679e8acd8a763379a8b,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-legal-memorandum/SKILL.md,plugin-cache,cached template; not advertised this task,22,1434,51fb9d21baf6119c4ccb1903638a6bac0e859210de63460fffa7025d52e997e0,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-market-trends-report/SKILL.md,plugin-cache,cached template; not advertised this task,22,1498,d58d019b89cb6f292ac3ab991d561489eef477ff53ce05fb024a0c936f5af26a,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-minimal-letterhead/SKILL.md,plugin-cache,cached template; not advertised this task,22,1470,880ef094d4d0c89a7bde5ce9bbe4086625c186651e9e6efc8ba8bdd7cc77f9d5,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-operating-calendar/SKILL.md,plugin-cache,cached template; not advertised this task,22,1500,33bb660791a0b9a21628a42c34934932220203b6aabd84e98cb1b45327d0384c,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-operating-review/SKILL.md,plugin-cache,cached template; not advertised this task,22,1483,6d63c5cd025ffe936e7bab5db3023672bbaec26af55c2bb8b057d38c202c9c32,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-project-kickoff/SKILL.md,plugin-cache,cached template; not advertised this task,22,1463,aa893ebd89e7c8d1db4261d01cc2b1add35d78d00785871ccaaa5fc8db783ec9,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-project-tracker/SKILL.md,plugin-cache,cached template; not advertised this task,22,1484,d97d5be20189b7f53dd269b6e1c5f694eaf53e5a72f6559fcb1578911b7cda82,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-sales-pipeline/SKILL.md,plugin-cache,cached template; not advertised this task,22,1482,15cfeeedf440021f16ed3f3ad8c7c1ef6d48898b9447741e223d2fb41cfc9800,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-simple-dark-mode/SKILL.md,plugin-cache,cached template; not advertised this task,22,1478,b7c8d0c05f75878b9bc21e56a57c41ec1aa29700aca0a24822be0f9f1bd53207,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-simple-light-mode/SKILL.md,plugin-cache,cached template; not advertised this task,22,1487,7c68430c6cf57b55b457d4735dbd1a46b889bef135a32222902dd0848b6e1752,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-strategy-memorandum/SKILL.md,plugin-cache,cached template; not advertised this task,22,1446,51d7882ac94e8e57b323394825728c33925af878806e37277217c2dc12a912e5,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-system-design/SKILL.md,plugin-cache,cached template; not advertised this task,22,1445,87f7b7ed1b0d8410f5e5971cd7f7db9a4165e2f37069e97e52dbfb469b75a57c,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-team-alignment/SKILL.md,plugin-cache,cached template; not advertised this task,22,1473,26d7cafdcd1899a937b325c5d02ac57c162d45002153be33a934d35f81eb6110,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/openai-templates/0.1.1/skills/artifact-template-three-statement-forecast/SKILL.md,plugin-cache,cached template; not advertised this task,22,1552,74f4a5cccec0107b861548b157e04c51d9b58ec13a990c86394b4c529b8ecf41,body reviewed; supporting files checked selectively,Cached template: explicit name trigger and short workflow; no urgent change,
/Users/sinan/.codex/plugins/cache/openai-curated-remote/plugin-management/0.1.0/skills/plugin-management/SKILL.md,plugin-cache,advertised Codex skill this task,58,2983,653841cc21205269f08b0ce135891e1518dac616a766bcfb0b57d788d3f68b10,body reviewed; supporting files checked selectively,Keep managed; required discovery tools unavailable in this task,
